id,name,x,y,z,rate,type,property
1,Adour,-1.58,43.51,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
2,AvonBeth,-3.16,51.26,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
3,Bann,-6.76,55.32,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
4,Barrow,-6.92,52.06,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
5,BlackMunster,-7.5,52.03,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
6,Charente,-3.44,45.68,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
7,Dordogne,-1.16,45.65,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
8,Douro,-8.74,41.11,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
9,Drammmen,10.58,59.39,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
10,Eden,-3.57,54.76,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
11,Elbe,8.75,53.99,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
12,Ems,6.58,53.58,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
13,Erne,-8.32,54.57,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
14,Escault,3.75,51.92,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
15,Garonne,-1.17,45.59,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
16,Glomma,10.82,59.16,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
17,GreatOuse,0.42,52.9,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
18,Guadalquivir,-6.5,36.76,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
19,Guadiana,-7.4,37.09,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
20,Lee,-8.23,51.69,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
21,Leyre,-1.88,44.61,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
22,liffey,-6.08,53.33,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
23,Loire,-4.24,47.18,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
24,Mersey,-3.07,53.69,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
25,Meuse,3.92,52,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
26,Minho,-9,41.64,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
27,Mondego,-9,40.17,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
28,Moy,-9.16,54.32,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
29,Nene,0.33,52.91,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
30,Rhine,4.07,52.07,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
31,Sado,-8.99,38.35,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
32,Seine,0,49.43,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
33,Severn,-3.07,51.42,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
34,Sevre-Noirtaise,-1.26,46.24,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
35,Shannon,-9.83,52.58,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
36,Somme,1.49,50.56,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
37,Spey,-3.06,57.75,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
38,Tagus,-9.34,38.58,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
39,Tay,-2.67,56.48,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
40,Tees,-1.07,54.72,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
41,Thames,0.92,51.49,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
42,TheHaven,0.25,52.92,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
43,Trent,0.18,53.57,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
44,Tweed,-1.92,55.8,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
45,Tyne,-1.34,55,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
46,Ulla,-9,42.42,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
47,Vilaine,-2.57,47.42,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
48,Weser,8.33,53.75,0.5,0.03331,plastic-plastic-paper,heavy-light-medium
