id,name,x,y,z,rate,T_Thousands_of_tonnes,type,property
1,ESGAR,-1.821051,37.181592,0.500000,0.033310,4231.111111,base,base
2,ESBRM,-2.716700,43.417339,0.500000,0.033310,129125.000000,base,base
3,ESLPA,-15.425054,28.136105,0.500000,0.033310,8489.394737,base,base
4,ESSCT,-16.239275,28.481896,0.500000,0.033310,6107.447368,base,base
5,ESALG,-5.431618,36.128014,0.500000,0.033310,31056.421053,base,base
6,ESCAD,-6.281494,36.532471,0.500000,0.033310,1944.026316,base,base
7,ESAGP,-4.417786,36.711914,0.500000,0.033310,1430.105263,base,base
8,ESMOT,-3.529480,36.723694,0.500000,0.033310,1054.843750,base,base
9,ESLEI,-2.475403,36.831909,0.500000,0.033310,2801.789474,base,base
10,ESHUV,-6.957886,37.249512,0.500000,0.033310,11516.894737,base,base
11,ESSVQ,-6.022522,37.366272,0.500000,0.033310,2081.552632,base,base
12,ESCAR,-0.984409,37.597586,0.500000,0.033310,12672.736842,base,base
13,PTSIE,-8.866768,37.953835,0.500000,0.033310,14376.289474,base,base
14,ESALC,-0.489807,38.334473,0.500000,0.033310,1315.526316,base,base
15,PTSET,-8.888794,38.520691,0.500000,0.033310,3144.710526,base,base
16,PTLIS,-9.105340,38.727018,0.500000,0.033310,5215.578947,base,base
17,ESVLC,-0.320764,39.449208,0.500000,0.033310,22624.078947,base,base
18,ESPMI,2.631349,39.567869,0.500000,0.033310,4423.421053,base,base
19,ESCAS,0.021762,39.970802,0.500000,0.033310,6538.184211,base,base
20,PTAVE,-8.729919,40.649292,0.500000,0.033310,1800.078947,base,base
21,ESTAR,1.232762,41.102062,0.500000,0.033310,15028.868421,base,base
22,ESBCN,2.165694,41.353089,0.500000,0.033310,18088.500000,base,base
23,PTLEI,-8.702982,41.183100,0.500000,0.033310,7028.578947,base,base
24,FRMRS,5.345007,43.333191,0.500000,0.033310,40468.131579,base,base
25,FRSET,3.704102,43.397278,0.500000,0.033310,1664.868421,base,base
26,ESVGO,-8.729980,42.241089,0.500000,0.033310,1769.789474,base,base
27,ESPAS,-1.919800,43.321899,0.500000,0.033310,1973.552632,base,base
28,ESBIO,-3.032222,43.346954,0.500000,0.033310,14905.473684,base,base
29,ESLCG,-8.395754,43.363396,0.500000,0.033310,6144.078947,base,base
30,ESSDR,-3.808411,43.457092,0.500000,0.033310,2523.526316,base,base
31,ESFRO,-8.242306,43.476143,0.500000,0.033310,5544.842105,base,base
32,FRBAY,-1.489685,43.506531,0.500000,0.033310,1663.105263,base,base
33,ESGIJ,-5.685590,43.559956,0.500000,0.033310,8942.842105,base,base
34,ESAVS,-5.929321,43.588074,0.500000,0.033310,2312.105263,base,base
35,FRBOD,-0.562988,44.835693,0.500000,0.033310,3928.394737,base,base
36,FRLRH,-1.159180,46.154297,0.500000,0.033310,3874.263158,base,base
37,FRLSO,-1.791199,46.494507,0.500000,0.033310,331375.000000,base,base
38,FRNTE,-1.582581,47.197693,0.500000,0.033310,14325.868421,base,base
39,FRLRT,-3.350098,47.742126,0.500000,0.033310,1222.105263,base,base
40,FRBES,-4.475586,48.379700,0.500000,0.033310,1228.157895,base,base
41,FRURO,1.045898,49.439880,0.500000,0.033310,10393.657895,base,base
42,FRLEH,0.096472,49.479634,0.500000,0.033310,31728.131579,base,base
43,GBPLY,-4.135193,50.363098,0.500000,0.033310,1063.342105,base,base
44,GBPME,-1.106201,50.808899,0.500000,0.033310,1925.342105,base,base
45,GBSOU,-1.405911,50.896322,0.500000,0.033310,18031.447368,base,base
46,FRCQF,1.854827,50.967096,0.500000,0.033310,8809.394737,base,base
47,FRDKK,2.178922,51.016007,0.500000,0.033310,20306.394737,base,base
48,BEGNE,3.741699,51.085083,0.500000,0.033310,12526.710526,base,base
49,GBDVR,1.317476,51.123089,0.500000,0.033310,11445.578947,base,base
50,BEOST,2.921875,51.235107,0.500000,0.033310,2312375.000000,base,base
51,BEANR,4.375671,51.253906,0.500000,0.033310,78036.736842,base,base
52,BEZEE,3.197265,51.363025,0.500000,0.033310,13699.947368,base,base
53,NLTNZ,3.813870,51.337200,0.500000,0.033310,6122.300000,base,base
54,GBMED,0.552909,51.400561,0.500000,0.033310,6271.578947,base,base
55,NLVLI,3.597097,51.442062,0.500000,0.033310,7672.600000,base,base
56,GBBRS,-2.624023,51.449707,0.500000,0.033310,4825.894737,base,base
57,GBCDF,-3.159607,51.453308,0.500000,0.033310,1037.315789,base,base
58,GBLON,-0.079138,51.505424,0.500000,0.033310,23767.921053,base,base
59,GBNPT,-2.986084,51.567505,0.500000,0.033310,1400.131579,base,base
60,GBPTB,-3.797690,51.576321,0.500000,0.033310,3686.473684,base,base
61,NLMOE,4.616516,51.699890,0.500000,0.033310,2527.105263,base,base
62,GBMLF,-5.029863,51.709508,0.500000,0.033310,17688.947368,base,base
63,NLDOR,4.644897,51.804871,0.500000,0.033310,1290.617647,base,base
64,NLVLA,4.363525,51.901306,0.500000,0.033310,3141.026316,base,base
65,IEORK,-8.435486,51.901672,0.500000,0.033310,4385.157895,base,base
66,NLRTM,4.483704,51.903687,0.500000,0.033310,182869.289474,base,base
67,GBHRW,1.288330,51.949280,0.500000,0.033310,1836.315789,base,base
