Column1,id,name,x,y,z,rate,type,property
0,1,Adour,-158,4351,5,1,plastic-paper,polystirene-cardboard
1,2,AvonBeth,-316,5126,5,2,plastic-paper,polystirene-cardboard
2,3,Bann,-676,5532,5,3,plastic-paper,polystirene-cardboard
3,4,Barrow,-692,5206,5,4,plastic-paper,polystirene-cardboard
4,5,BlackMunster,-75,5203,5,5,plastic-paper,polystirene-cardboard
5,6,Charente,-344,4568,5,6,plastic-paper,polystirene-cardboard
6,7,Dordogne,-116,4565,5,7,plastic-paper,polystirene-cardboard
7,8,Douro,-874,4111,5,8,plastic-paper,polystirene-cardboard
8,9,Drammmen,1058,5939,5,9,plastic-paper,polystirene-cardboard
9,10,Eden,-357,5476,5,10,plastic-paper,polystirene-cardboard
10,11,Elbe,875,5399,5,11,plastic-paper,polystirene-cardboard
11,12,Ems,658,5358,5,12,plastic-paper,polystirene-cardboard
12,13,Erne,-832,5457,5,13,plastic-paper,polystirene-cardboard
13,14,Escault,375,5192,5,14,plastic-paper,polystirene-cardboard
14,15,Garonne,-117,4559,5,15,plastic-paper,polystirene-cardboard
15,16,Glomma,1082,5916,5,16,plastic-paper,polystirene-cardboard
16,17,GreatOuse,42,529,5,17,plastic-paper,polystirene-cardboard
17,18,Guadalquivir,-65,3676,5,18,plastic-paper,polystirene-cardboard
18,19,Guadiana,-74,3709,5,19,plastic-paper,polystirene-cardboard
19,20,Lee,-823,5169,5,20,plastic-paper,polystirene-cardboard
20,21,Leyre,-188,4461,5,21,plastic-paper,polystirene-cardboard
21,22,liffey,-608,5333,5,22,plastic-paper,polystirene-cardboard
22,23,Loire,-424,4718,5,23,plastic-paper,polystirene-cardboard
23,24,Mersey,-307,5369,5,24,plastic-paper,polystirene-cardboard
24,25,Meuse,392,520,5,25,plastic-paper,polystirene-cardboard
25,26,Minho,-90,4164,5,26,plastic-paper,polystirene-cardboard
26,27,Mondego,-90,4017,5,27,plastic-paper,polystirene-cardboard
27,28,Moy,-916,5432,5,28,plastic-paper,polystirene-cardboard
28,29,Nene,33,5291,5,29,plastic-paper,polystirene-cardboard
29,30,Rhine,407,5207,5,30,plastic-paper,polystirene-cardboard
30,31,Sado,-899,3835,5,31,plastic-paper,polystirene-cardboard
31,32,Seine,0,4943,5,32,plastic-paper,polystirene-cardboard
32,33,Severn,-307,5142,5,33,plastic-paper,polystirene-cardboard
33,34,Sevre-Noirtaise,-126,4624,5,34,plastic-paper,polystirene-cardboard
34,35,Shannon,-983,5258,5,35,plastic-paper,polystirene-cardboard
